Region,Num Rows,Has RH,Missing Year,Missing Month,Missing Day,Missing Rainfall,Missing Tmax,Missing Tmin,Missing Date,Missing RH
Paro,9283,False,0,0,0,46,53,65,0,
Gasa,8217,False,0,0,0,162,169,169,0,
Deothang,9283,True,0,0,0,44,75,75,0,44.0
Bhur,9283,True,0,0,0,91,103,102,0,85.0
Nganglam,7456,True,0,0,0,733,659,656,0,595.0
Zhemgang,9283,True,0,0,0,11,1,0,0,93.0
Simtokha,9283,True,0,0,0,23,26,22,0,31.0
Phuentsholing,9283,True,0,0,0,807,777,774,0,1001.0
Chamkhar,9283,False,0,0,0,5,2,2,0,
Kanglung_Tashigang,9283,False,0,0,0,5,7,5,0,
Mongar,9283,False,0,0,0,0,2,1,0,
Trongsa,9283,False,0,0,0,500,489,488,0,
Tashiyangtse,9283,False,0,0,0,0,11,7,0,
Tangmachu_Lhuentse,4779,False,0,0,0,52,70,66,0,
